epoch,train_time_sec,loss,MTIA,P_inv,Energy
0,0.09861898422241211,44.78961944580078,32.515625,0.0,32.515625
25,1.5534486770629883,42.518253326416016,33.9453125,0.0,33.9453125
50,3.0206780433654785,41.84505844116211,44.6953125,0.0,44.6953125
75,4.522130489349365,15.930000305175781,67.046875,0.0,67.046875
100,6.031128644943237,59.82720184326172,222.078125,0.3984375,222.078125
125,7.540120840072632,13.854964256286621,226.46875,0.4140625,226.46875
150,9.06881070137024,9.588556289672852,220.859375,0.3984375,220.859375
175,10.60506796836853,3.918600559234619,226.6796875,0.40625,226.6796875
200,12.185119867324829,3.627399206161499,157.09375,0.2578125,157.09375
225,13.735534429550171,4.147824287414551,207.8125,0.375,207.8125
250,15.257259607315063,5.837600231170654,250.6015625,0.453125,250.6015625
275,16.831711769104004,199.6222686767578,212.484375,0.3828125,212.484375
300,18.364058017730713,7.0167012214660645,187.3671875,0.3359375,187.3671875
325,19.931797742843628,104.75191497802734,191.734375,0.3359375,191.734375
350,21.488258361816406,47.046966552734375,221.4140625,0.3984375,221.4140625
375,23.037551641464233,4.150472640991211,209.140625,0.3671875,209.140625
400,24.580614805221558,47.248775482177734,225.234375,0.3984375,225.234375
425,26.133213996887207,5.776723384857178,200.6328125,0.34375,200.6328125
450,27.688745260238647,42.48445129394531,218.5,0.390625,218.5
475,29.251155853271484,177.63287353515625,247.640625,0.453125,247.640625
500,30.836161613464355,6.528284072875977,228.7265625,0.4296875,228.7265625
525,32.39775013923645,219.92645263671875,247.9609375,0.453125,247.9609375
550,33.94976186752319,8.82426643371582,211.484375,0.375,211.484375
575,35.49979519844055,6.75171422958374,217.984375,0.3828125,217.984375
600,37.079047441482544,102.15516662597656,210.484375,0.3828125,210.484375
625,38.639228105545044,173.39013671875,207.1953125,0.3671875,207.1953125
650,40.19252038002014,126.08677673339844,194.0,0.3359375,194.0
675,41.773364305496216,122.24774169921875,203.9140625,0.359375,203.9140625
700,43.33131504058838,4.721418380737305,248.8359375,0.453125,248.8359375
725,44.89801335334778,166.27310180664062,212.0390625,0.375,212.0390625
750,46.46435213088989,6.640203952789307,181.9453125,0.3046875,181.9453125
775,48.054126024246216,102.53301239013672,203.3828125,0.359375,203.3828125
800,49.62625503540039,159.225830078125,223.8359375,0.390625,223.8359375
825,51.19563627243042,5.084362030029297,201.484375,0.34375,201.484375
850,52.76383924484253,465.1336364746094,203.8125,0.3515625,203.8125
875,54.32308101654053,41.14801025390625,209.328125,0.3671875,209.328125
900,55.92510533332825,99.74209594726562,157.8828125,0.265625,157.8828125
925,57.5003182888031,6.6560282707214355,253.484375,0.4609375,253.484375
950,59.06175899505615,144.25193786621094,192.578125,0.3359375,192.578125
975,60.64061760902405,10.192085266113281,197.0,0.3359375,197.0
1000,62.22973299026489,56.59889221191406,197.0390625,0.34375,197.0390625
1025,63.81035542488098,9.562959671020508,198.90625,0.34375,198.90625
1050,65.39743423461914,84.55845642089844,208.5703125,0.3671875,208.5703125
1075,67.01124620437622,116.9820556640625,204.7265625,0.359375,204.7265625
1100,68.58649253845215,87.16931915283203,181.1953125,0.3125,181.1953125
1125,70.15721154212952,155.13356018066406,225.90625,0.40625,225.90625
1150,71.73028659820557,6.263717174530029,157.3125,0.25,157.3125
1175,73.35008525848389,200.72032165527344,193.0703125,0.3359375,193.0703125
1200,74.94991636276245,31.503677368164062,197.6796875,0.3515625,197.6796875
1225,76.53292751312256,167.47413635253906,226.5546875,0.3984375,226.5546875
1250,78.14271020889282,191.94505310058594,174.4765625,0.2890625,174.4765625
1275,79.75024724006653,8.096031188964844,161.546875,0.265625,161.546875
1300,81.34918594360352,441.4590148925781,201.5234375,0.3515625,201.5234375
1325,82.94657683372498,8.889126777648926,194.0703125,0.3359375,194.0703125
1350,84.58673000335693,94.64564514160156,239.203125,0.4296875,239.203125
1375,86.21349143981934,3.5086135864257812,211.4921875,0.3671875,211.4921875
1400,87.957590341568,11.342551231384277,210.7890625,0.375,210.7890625
1425,89.95057916641235,8.939292907714844,213.4609375,0.3828125,213.4609375
1450,91.7850558757782,74.96224975585938,252.75,0.4609375,252.75
1475,93.53533554077148,423.2784729003906,235.4921875,0.4296875,235.4921875
1500,95.19420313835144,116.2257080078125,183.9765625,0.3203125,183.9765625
1525,96.91749620437622,296.9563293457031,226.3203125,0.4140625,226.3203125
1550,98.58530712127686,50.781211853027344,225.4296875,0.40625,225.4296875
1575,100.44126510620117,6.2116475105285645,212.765625,0.3828125,212.765625
1600,102.46611642837524,5.614465236663818,207.6015625,0.359375,207.6015625
1625,104.35402178764343,9.825310707092285,188.078125,0.328125,188.078125
1650,106.47012448310852,3.936281204223633,215.2890625,0.3828125,215.2890625
1675,108.37545347213745,6.550405025482178,205.96875,0.3671875,205.96875
1700,110.30455660820007,100.46046447753906,238.4609375,0.4296875,238.4609375
1725,112.24345350265503,5.67730712890625,233.5546875,0.421875,233.5546875
1750,114.16753053665161,132.96592712402344,210.796875,0.375,210.796875
1775,116.00007510185242,67.187255859375,243.1015625,0.4453125,243.1015625
1800,117.88599562644958,3.336770534515381,238.7578125,0.4296875,238.7578125
1825,119.62894868850708,94.82357025146484,240.7421875,0.4375,240.7421875
1850,121.39594888687134,51.81681442260742,198.1015625,0.3515625,198.1015625
1875,123.3425407409668,112.70991516113281,235.1328125,0.4296875,235.1328125
1900,125.27495288848877,271.2663269042969,223.734375,0.3984375,223.734375
1925,127.26042246818542,87.96857452392578,202.1875,0.359375,202.1875
1950,129.0257284641266,321.7266540527344,189.0546875,0.328125,189.0546875
1975,130.81812596321106,95.10610961914062,196.75,0.34375,196.75
1999,132.56430196762085,248.32325744628906,210.0234375,0.375,210.0234375
